"","state","date","tweets","hoax","fips","cases","deaths","rank","pop","growth","Pop2018","Pop2010","growthSince2010","Percent","density","one","stweets","hoaxsh","nn","cumtweets","cumhoax","casesPC","deathsPC","datex","tweetsPC","L1hoaxsh","L2hoaxsh","L1cases","hoaxshXdensity","Dcases","DcasesPC","mtweetsPC","mhoaxsh","mdensity","tweetsPCXdensity"
"11","Alabama",2020-04-02,237,0,1,1270,32,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,237,2.30582524271845,11,1648,38,0.258728469767782,0.00651914254532994,2020-04-02,3.35735841084492,2.30582524271845,2.30582524271845,1270,-246.674412864078,0,0,4.3936614613976,0.81645045850813,203.900898,-359.16616724738
"12","Alabama",2020-04-03,234,0,1,1535,38,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,234,2.01912858660999,12,1882,38,0.312715118971296,0.0077414817725793,2020-04-03,3.83407070947217,2.01912858660999,2.01912858660999,1535,-216.003949202976,0,0,5.02172125762318,0.781583092253111,203.900898,-410.16427594634
"13","Alabama",2020-04-04,270,1,1,1633,44,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,270,1.81226765799256,13,2152,39,0.332679993016369,0.00896382099982867,2020-04-04,4.38412336173439,1.81226765799256,1.81226765799256,1633,-193.87421570632,0,0,5.77566226206666,0.738983400021089,203.900898,-469.008247522064
"14","Alabama",2020-04-05,250,0,1,1841,45,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,250,1.62364696086594,14,2402,39,0.375054419561013,0.00916754420437023,2020-04-05,4.89343137308829,1.62364696086594,1.62364696086594,1841,-173.695800249792,0,0,6.50918760998209,0.690244208414145,203.900898,-523.493406388475
"15","Alabama",2020-04-06,258,4,1,2006,53,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,258,1.61654135338346,15,2660,43,0.408668748310371,0.0107973298407027,2020-04-06,5.41903724080551,1.61654135338346,1.61654135338346,2006,-172.935650902256,0,0,7.29426477567296,0.66483533873214,203.900898,-579.72209033861
"16","Alabama",2020-04-07,321,1,1,2197,64,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,321,1.4760147601476,16,2981,44,0.447579880377809,0.0130382850906599,2020-04-07,6.07298872738392,1.4760147601476,1.4760147601476,2197,-157.902284870849,0,0,8.10203425579575,0.627086821395745,203.900898,-649.681034323082
"17","Alabama",2020-04-08,293,6,1,2499,67,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,293,1.5271838729383,17,3274,50,0.50910428814936,0.0136494547042846,2020-04-08,6.6698977166907,1.5271838729383,1.5271838729383,2499,-163.376295051924,0,0,8.92603999953742,0.625334615867889,203.900898,-713.537640514515
"18","Alabama",2020-04-09,320,2,1,2838,78,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,320,1.44685587089594,18,3594,52,0.578166454488949,0.0158904099542417,2020-04-09,7.32181197122369,1.44685587089594,1.44685587089594,2838,-154.782901947691,0,0,9.74177004803146,0.612908396991543,203.900898,-783.278643863521
"19","Alabama",2020-04-10,265,3,1,3008,80,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,265,1.42523969940399,19,3859,55,0.612799399261014,0.0162978563633249,2020-04-10,7.86167846325883,1.42523969940399,1.42523969940399,3008,-152.47042990412,0,0,10.4952453970308,0.59765961993393,203.900898,-841.032912261916
"20","Alabama",2020-04-11,211,0,1,3262,93,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,211,1.35135135135135,20,4070,55,0.664545093214571,0.0189462580223651,2020-04-11,8.29153442484152,1.35135135135135,1.35135135135135,3262,-144.565943243243,0,0,11.1443604063636,0.581867594538441,203.900898,-887.018386345167
"21","Alabama",2020-04-12,117,0,1,3583,93,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,117,1.31358968235013,21,4187,55,0.729940241872412,0.0189462580223651,2020-04-12,8.52989057415514,1.31358968235013,1.31358968235013,3583,-140.526245283019,0,0,11.54559801074,0.607968091535388,203.900898,-912.517440694647
"22","Alabama",2020-04-13,174,0,1,3805,104,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,174,1.26117862875487,22,4361,55,0.775166793280638,0.0211872132723223,2020-04-13,8.88436895005746,1.26117862875487,1.26117862875487,3805,-134.919373767485,0,0,12.0119100675759,0.620354912778148,203.900898,-950.439111265669
"23","Alabama",2020-04-14,257,2,1,3953,114,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,257,1.23430056301429,23,4618,57,0.805317827552789,0.0232244453177379,2020-04-14,9.40793758572927,1.23430056301429,1.23430056301429,3953,-132.043990601992,0,0,12.7523633551451,0.616187503213386,203.900898,-1006.44985458034
"24","Alabama",2020-04-15,242,0,1,4241,123,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,242,1.17283950617284,24,4860,57,0.863990110460759,0.025057954158612,2020-04-15,9.90094774071985,1.17283950617284,1.17283950617284,4241,-125.468960617284,0,0,13.5420479245739,0.601860307502986,203.900898,-1059.19148836303
"25","Alabama",2020-04-16,242,0,1,4404,137,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,242,1.1172089376715,25,5102,57,0.897196992801033,0.0279100790221938,2020-04-16,10.3939578957104,1.1172089376715,1.1172089376715,4404,-119.517669266954,0,0,14.2983576430326,0.604035564026203,203.900898,-1111.93312214571
"26","Alabama",2020-04-17,268,0,1,4572,151,24,4908.621,0.0042,4887871,4785448,0.0257,0.0147,96.9221,1,268,1.06145251396648,26,5370,57,0.931422491164015,0.0307622038857757,2020-04-17,10.9399360838818,1.06145251396648,1.06145251396648,4572,-113.552914078212,0,0,15.0407423000614,0.591929704529066,203.900898,-1170.3412124505
